emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
127,126,125,127,127,128,128,128,209,146,254,127,127,127,124,125,112
127,126,126,127,127,128,128,129,209,146,254,127,127,127,124,125,112
127,126,126,127,127,128,128,130,209,146,254,127,127,127,124,125,112
127,127,127,127,127,128,128,130,209,146,254,127,127,127,124,125,112
128,127,127,127,127,127,128,130,209,146,254,127,127,127,124,125,112
128,127,127,127,127,127,128,130,209,146,254,127,127,127,124,125,112
128,127,127,127,127,127,128,130,209,146,254,127,127,127,124,125,112
126,126,126,127,127,128,128,128,209,146,254,127,127,127,124,125,112
126,126,125,127,127,128,128,128,209,146,254,127,127,127,124,125,112
126,126,125,127,127,128,128,128,209,146,254,127,127,127,124,125,112
127,126,128,127,127,127,126,127,209,145,254,127,127,127,124,125,112
127,126,128,127,127,127,126,127,209,145,254,127,127,127,124,125,112
127,126,127,127,128,127,127,127,209,145,254,127,127,127,124,125,112
127,126,127,127,128,128,127,128,209,145,254,127,127,127,124,125,112
127,126,127,127,128,128,127,129,209,145,254,127,127,127,124,125,112
127,126,127,127,128,128,127,129,209,145,254,127,127,127,124,125,112
127,127,129,127,127,127,126,127,209,145,254,127,127,127,124,125,112
127,126,128,127,127,127,126,127,209,145,254,127,127,127,124,125,112
127,126,128,127,127,127,127,127,209,145,254,127,127,127,124,125,112
127,126,128,127,127,127,126,127,209,145,254,127,127,127,124,125,112
128,127,128,127,127,127,127,129,209,145,254,127,127,127,124,125,112
128,127,128,127,127,127,127,129,209,145,254,127,127,127,124,125,112
128,126,127,127,127,127,127,129,209,145,254,127,127,127,124,125,112
127,126,127,127,126,127,127,129,209,145,254,127,127,127,124,125,112
127,125,127,127,126,127,127,129,209,145,254,127,127,127,124,125,112
128,128,128,127,127,127,127,128,209,145,254,127,127,127,124,125,112
128,128,128,127,127,128,128,129,209,145,254,127,127,127,124,125,112
